CaseID,Activity,Duration,Timestamp,Duration Float,Time to conclusion,Passed Time,Step,Prefix,Activity Cat
5440252/2021,cexatáguafria-aguardandoanálisedoprocesso,0 days 00:00:08.128000,2021-06-11 10:27:03.184,0.0001,98.1801,99.2815,5,"nuamaguafria-protocolizado,nuamaguafria-aguardandodistribuição,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso",78
5440252/2021,cexatáguafria-providenciado,98 days 04:19:03.035000,2021-09-17 14:46:06.219,98.1799,0.0002,100.2389,6,"nuamaguafria-protocolizado,nuamaguafria-aguardandodistribuição,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-providenciado",93
5440252/2021,cexatáguafria-arquivado,0 days 00:00:16.835000,2021-09-17 14:46:23.054,0.0002,0.0,100.2389,7,"nuamaguafria-protocolizado,nuamaguafria-aguardandodistribuição,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-providenciado,cexatáguafria-arquivado",86
5441399/2021,cexataguafria-protocolizado,0 days 00:00:00,2021-06-09 09:14:05.042,0.0,81.9465,0.0,1,cexataguafria-protocolizado,13
5441399/2021,cexataguafria-aguardandodistribuição,0 days 00:00:00.021000,2021-06-09 09:14:05.063,0.0,81.9465,0.0001,2,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição",7
5441399/2021,cexatáguafria-aguardandoanálisedoprocesso,0 days 22:17:56.597000,2021-06-10 07:32:01.660,0.9291,81.0174,5.8787,3,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexatáguafria-aguardandoanálisedoprocesso",78
5441399/2021,cexatáguafria-processoanalisado,75 days 03:19:03.498000,2021-08-24 10:51:05.158,75.1382,5.8792,5.8792,4,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado",91
5441399/2021,cexatáguafria-aguardandociênciadosolicitante,0 days 00:00:45.333000,2021-08-24 10:51:50.491,0.0005,5.8787,81.0174,5,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado,cexatáguafria-aguardandociênciadosolicitante",81
5441399/2021,cexatáguafria-solicitantenãociente,5 days 21:05:14.316000,2021-08-30 07:57:04.807,5.8786,0.0001,81.9465,6,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado,cexatáguafria-aguardandociênciadosolicitante,cexatáguafria-solicitantenãociente",96
5441399/2021,cexatáguafria-arquivado,0 days 00:00:11.956000,2021-08-30 07:57:16.763,0.0001,0.0,81.9465,7,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado,cexatáguafria-aguardandociênciadosolicitante,cexatáguafria-solicitantenãociente,cexatáguafria-arquivado",86
5443804/2021,nuataquiraz-protocolizado,0 days 00:00:00,2021-06-09 09:39:36.850,0.0,19.2793,-0.0,1,nuataquiraz-protocolizado,143
5443804/2021,nuataquiraz-aguardandodistribuição,0 days 00:00:00.007000,2021-06-09 09:39:36.857,0.0,19.2793,0.0001,2,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição",136
5443804/2021,nuataquiraz-distribuído,0 days 01:46:38.497000,2021-06-09 11:26:15.354,0.0741,19.2052,17.3381,3,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição,nuataquiraz-distribuído",141
5443804/2021,nuataquiraz-aguardandociênciadosolicitante,1 days 20:48:34.911000,2021-06-11 08:14:50.265,1.8671,17.3381,19.2052,4,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição,nuataquiraz-distribuído,nuataquiraz-aguardandociênciadosolicitante",135
5443804/2021,nuataquiraz-solicitantenãociente,17 days 08:06:46.954000,2021-06-28 16:21:37.219,17.338,0.0001,19.2793,5,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição,nuataquiraz-distribuído,nuataquiraz-aguardandociênciadosolicitante,nuataquiraz-solicitantenãociente",147
5443804/2021,nuataquiraz-arquivado,0 days 00:00:12.566000,2021-06-28 16:21:49.785,0.0001,-0.0,19.2793,6,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição,nuataquiraz-distribuído,nuataquiraz-aguardandociênciadosolicitante,nuataquiraz-solicitantenãociente,nuataquiraz-arquivado",140
5459492/2021,nuatmcentro-protocolizado,0 days 00:00:00,2021-06-09 13:51:31.503,0.0,169.8452,-0.0,1,nuatmcentro-protocolizado,218
5459492/2021,nuatmcentro-aguardandodistribuição,0 days 00:00:00.005000,2021-06-09 13:51:31.508,0.0,169.8452,0.0211,2,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição",214
5459492/2021,nuatmcentro-distribuído,0 days 02:54:23.982000,2021-06-09 16:45:55.490,0.1211,169.7241,168.8464,3,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição,nuatmcentro-distribuído",217
